dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
100520,5.0,-1.1,0.04613672314135726,0.10198769426420039,0.4523753917000957
1005316,3.58105,-1.14582,0.06599959269994884,0.0900579082142594,0.7328572693796894
100539,5.0,-0.975,0.0955947351241611,0.13600277611823175,0.7028881163503413
1005458,3.34093,-0.855617,0.1608341251700309,0.1731799500328161,0.9287110034363344
1006209,5.0,-0.95,0.1390884137027496,0.14406144723768982,0.9654797752605171
1006508,2.26664,-0.697433,0.15616601639064992,0.18107135185467121,0.8624556827520101
1006615,3.14544,-0.665025,0.17198567769827047,0.2635423882246223,0.6525920891013697
1006627,2.65126,-0.913767,0.08037483295444603,0.13369506925068061,0.6011802335338321
1006712,2.76084,-0.823986,0.06662429208851905,0.17005054035513373,0.39179112250617265
1006927,3.31333,-1.06594,0.07007071615987594,0.10646774938665943,0.6581402966019295
100759,3.58647,-1.12465,0.09952845343658422,0.09457949579803354,1.0523259042226103
1007681,2.71367,-0.742009,0.19374184086278534,0.2025992979206329,0.9562809094169843
100801,3.94379,-1.31973,0.05264985137030374,0.061014028139943874,0.8629138736676134
1008247,5.0,-0.925,0.1503775902282554,0.15259762464095436,0.9854517105497385
1008471,3.38018,-0.915418,0.0,0.15134169664740157,0.0
1008531,2.82648,-0.895179,0.08319217210771719,0.1467934882946425,0.5667293084604315
1008737,3.18729,-0.544809,0.23576315939249845,0.34925631549186653,0.6750433676781684
1008739,3.03102,-1.06559,0.07055167228023987,0.10316150452547025,0.6838953406580154
1009363,2.75856,-0.810414,0.2143381633051546,0.17533844208596513,1.2224253891800214
1009473,3.63377,-1.03097,0.09637375161318536,0.11758220035826825,0.8196287475445978
1009853,1.13427,-0.252831,0.07845324155897654,0.15258923140448183,0.5141466461090793
1010231,2.87771,-0.790178,0.20608445452097915,0.18912816989098094,1.0896549923777739
1010581,5.0,-0.85,0.09019804598770406,0.18136261678737234,0.49733538027548047
1010882,2.64611,-0.624308,0.08244775426843369,0.2598964213453688,0.317233126341787
1010945,2.26832,-0.722277,0.1176526921209314,0.1712031796154221,0.6872109056923915
101129,5.0,-0.925,0.12473855992969232,0.15259762464095436,0.8174344798825579
1011389,3.53282,-0.985944,0.1474572194873735,0.1298383598312648,1.1356984151602485
1011484,2.61039,-1.01591,0.11953565462769941,0.10413657463655165,1.1478738862392226
1012129,2.26277,-0.736076,0.21415797849147003,0.16520983630248587,1.296278619266737
1012310,5.0,-1.1,0.10339444901885256,0.10198769426420039,1.0137933773755876
1013289,5.0,-0.9,0.09671792985039239,0.16163960235413657,0.5983554057408088
1013675,3.13749,-0.845966,0.07515893070597056,0.1735771254994673,0.4330002037405627
